Customer Group,New,Renewal,Lost,oppotrunity,Potential Opportunity,Gain,Cancelled,Early Lead,Payment Terms,Contract Term,Milestone, Prob to win % 
ford,0,1,1,0,0,0,0,0,60,1,-1,0
ford,1,0,1,0,0,0,0,0,40,2.5,-1,0
ford,1,0,0,1,0,0,0,0,60,2.5,0.7,90
ford,1,0,0,1,0,0,0,0,60,4,0.8,20
ford,0,1,0,1,0,0,0,0,60,4,0.8,85
ford,1,0,0,0,1,0,0,0,0,1.5,0.3,10
ford,0,1,0,0,1,0,0,0,60,1,0.3,85
ford,0,1,0,0,1,0,0,0,0,1.5,0.3,85
ford,0,1,0,0,0,1,0,0,45,1.5,1,100
ford,1,0,0,0,0,0,1,0,0,2.5,-1,0
ford,0,1,0,0,0,1,0,0,45,4,1,100
ford,1,0,0,0,0,0,1,0,45,1,-1,0
ford,1,0,0,1,0,0,0,0,30,4,0.8,20
hp,0,1,0,0,0,1,0,0,60,1,1,100
hp,0,1,0,0,0,1,0,0,60,1.5,1,100
hp,0,1,0,0,0,1,0,0,60,1,1,100
hp,1,0,0,0,1,0,0,0,0,1,0.3,10
hp,0,1,0,0,0,1,0,0,45,2.5,1,100
hp,1,0,0,0,0,0,0,1,0,2.5,0,0
hp,0,1,0,1,0,0,0,0,60,1,0.5,85
pep,0,1,0,0,0,1,0,0,60,1.5,1,100
pep,1,0,0,1,0,0,0,0,30,7,0.8,20
pep,1,0,0,0,0,0,1,0,30,2.5,-1,0
pep,1,0,0,0,0,0,0,1,60,2.5,0,0
pep,1,0,0,1,0,0,0,0,90,1.5,0.8,20
pep,1,0,0,0,0,0,0,1,0,1,0,0
pg,0,1,0,1,0,0,0,0,75,2.5,0.5,85
pg,1,0,0,0,0,1,0,0,35,1.5,1,100
pg,0,1,0,0,0,1,0,0,15,2.5,1,100
pg,0,1,0,0,0,1,0,0,75,2.5,1,100
pg,1,0,0,0,1,0,0,0,60,2.5,0.3,10
pg,1,0,0,0,1,0,0,0,60,2.5,0.3,10
pg,1,0,0,0,1,0,0,0,60,2.5,0.3,10
pg,1,0,0,0,0,1,0,0,35,2.5,1,100
pg,0,1,0,1,0,0,0,0,120,2.5,0.6,85
pg,0,1,0,0,0,1,0,0,75,1.5,1,100
pg,0,1,0,1,0,0,0,0,45,1.5,0.7,85
pg,0,1,0,1,0,0,0,0,90,2.5,0.7,85
pg,0,1,0,1,0,0,0,0,35,2.5,0.8,85
pg,0,1,0,0,0,1,0,0,35,2.5,1,100
ul,0,1,0,0,0,1,0,0,63,1.5,1,100
ul,1,0,0,1,0,0,0,0,60,2.5,0.5,50
ul,1,0,0,0,0,0,0,1,0,1,0,0
ul,0,1,0,0,0,1,0,0,65,1,1,100
ul,0,1,0,1,0,0,0,0,60,2.5,0.7,85
ul,1,0,0,0,0,1,0,0,60,1,1,100
ul,0,1,0,0,0,1,0,0,90,1,1,100
ul,0,1,0,1,0,0,0,0,90,2.5,0.7,85
ul,0,1,0,1,0,0,0,0,90,1,0.5,85
ul,0,1,0,1,0,0,0,0,60,1,0.8,85
ul,0,1,0,1,0,0,0,0,70,1,0.8,85
ul,0,1,0,1,0,0,0,0,60,4,0.8,85
ul,0,1,0,1,0,0,0,0,50,2.5,0.6,85
ul,1,0,0,0,0,1,0,0,60,1,1,100
ul,0,1,0,0,0,1,0,0,90,1,1,100
ul,1,0,0,1,0,0,0,0,60,4,0.8,20
ul,1,0,0,0,0,1,0,0,60,1.5,1,100
ul,1,0,0,1,0,0,0,0,60,2.5,0.3,20
ul,1,0,0,1,0,0,0,0,60,2.5,0.7,90
ul,0,1,0,1,0,0,0,0,90,2.5,0.7,85
ul,1,0,1,0,0,0,0,0,90,2.5,-1,0
ul,1,0,0,0,0,0,0,1,0,1,0,0
ul,0,1,0,1,0,0,0,0,45,2.5,0.7,85
ul,1,0,0,1,0,0,0,0,60,2.5,0.5,33
ul,1,0,0,0,1,0,0,0,0,1,0.3,10
